,property_type,seller,status,rate per sqft,price,area,location,RERA
830,3 BHK Apartment in Puravankara Zenium,Puravankara Limited,Under Construction,"6,840 / sq ft", 1.17 Cr,1725 ,Bagaluru Near Yelahanka,approval by RERA
831,3 BHK Apartment in Puravankara Zenium,Puravankara Limited,Under Construction,"6,840 / sq ft", 1 Cr,1462 ,Bagaluru Near Yelahanka,approval by RERA
832,2 BHK Apartment in Puravankara Zenium,Puravankara Limited,Under Construction,"6,833 / sq ft", 81.99 L,1200 ,Bagaluru Near Yelahanka,approval by RERA
833,3 BHK Apartment in Puravankara Zenium,Puravankara Limited,Under Construction,"6,840 / sq ft", 1.2 Cr,1763 ,Bagaluru Near Yelahanka,approval by RERA
834,3 BHK Apartment in Puravankara Zenium,Puravankara Limited,Under Construction,"6,840 / sq ft", 1.09 Cr,1598 ,Bagaluru Near Yelahanka,approval by RERA
835,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,109 / sq ft", 88.28 L,1445 ,Panathur,not approval by RERA
836,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"4,639 / sq ft", 72.15 L,1555 ,Panathur,not approval by RERA
837,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,243 / sq ft", 72.42 L,1160 ,Panathur,not approval by RERA
838,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,207 / sq ft", 76.04 L,1225 ,Panathur,not approval by RERA
839,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,093 / sq ft", 90.79 L,1490 ,Panathur,not approval by RERA
840,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,068 / sq ft", 94.85 L,1563 ,Panathur,not approval by RERA
841,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,238 / sq ft", 72.98 L,1170 ,Panathur,not approval by RERA
842,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,210 / sq ft", 75.76 L,1220 ,Panathur,not approval by RERA
843,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,246 / sq ft", 72.15 L,1155 ,Panathur,not approval by RERA
844,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,074 / sq ft", 93.85 L,1545 ,Panathur,not approval by RERA
845,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,249 / sq ft", 71.87 L,1150 ,Panathur,not approval by RERA
846,3 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,083 / sq ft", 92.46 L,1520 ,Panathur,not approval by RERA
847,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,342 / sq ft", 64.24 L,1013 ,Panathur,not approval by RERA
848,2 BHK Apartment in SSVR Acacia,SSVR Builders,Ready to move,"6,368 / sq ft", 62.41 L,980 ,Panathur,not approval by RERA
849,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 42.37 L,1115 ,Vidyaranyapura,approval by RERA
850,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 61.75 L,1625 ,Vidyaranyapura,approval by RERA
851,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 53.96 L,1420 ,Vidyaranyapura,approval by RERA
852,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 69.16 L,1820 ,Vidyaranyapura,approval by RERA
853,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 59.28 L,1560 ,Vidyaranyapura,approval by RERA
854,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 67.07 L,1765 ,Vidyaranyapura,approval by RERA
855,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 54.53 L,1435 ,Vidyaranyapura,approval by RERA
856,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 65.93 L,1735 ,Vidyaranyapura,approval by RERA
857,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 58.52 L,1540 ,Vidyaranyapura,approval by RERA
858,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 46.36 L,1220 ,Vidyaranyapura,approval by RERA
859,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 51.3 L,1350 ,Vidyaranyapura,approval by RERA
860,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 70.3 L,1850 ,Vidyaranyapura,approval by RERA
861,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 60.8 L,1600 ,Vidyaranyapura,approval by RERA
862,3 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 65.74 L,1730 ,Vidyaranyapura,approval by RERA
863,2 BHK Apartment in Sashank Aadya,Sashank Constructions,Under Construction,"3,800 / sq ft", 50.54 L,1330 ,Vidyaranyapura,approval by RERA
864,3 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 56.05 L,1180 ,Chandapura,approval by RERA
865,2 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 44.88 L,945 ,Chandapura,approval by RERA
866,2 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 40.13 L,845 ,Chandapura,approval by RERA
867,3 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 53.67 L,1130 ,Chandapura,approval by RERA
868,3 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 52.25 L,1100 ,Chandapura,approval by RERA
869,2 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 40.37 L,850 ,Chandapura,approval by RERA
870,2 BHK Apartment in Subha Elan,Subha Builders and Developers,Under Construction,"4,750 / sq ft", 38 L,800 ,Chandapura,approval by RERA
871,3 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,756 / sq ft", 1.03 Cr,1795 ,Uttarahalli,not approval by RERA
872,2 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,877 / sq ft", 74.64 L,1270 ,Uttarahalli,not approval by RERA
873,3 BHK Apartment in Navami Landmaark,Navami Builders and Developers,Under Construction,"7,236 / sq ft", 1.19 Cr,1652 ,RR Nagar,approval by RERA
874,2 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,911 / sq ft", 69.45 L,1175 ,Uttarahalli,not approval by RERA
875,3 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,748 / sq ft", 1.06 Cr,1845 ,Uttarahalli,not approval by RERA
876,2 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,905 / sq ft", 70.27 L,1190 ,Uttarahalli,not approval by RERA
877,3 BHK Apartment in Vara Vasundara,Vara Constructions,Ready to move,"5,814 / sq ft", 87.21 L,1500 ,Uttarahalli,not approval by RERA
878,3 BHK Independent House,seller,Ready to move,"6,111 / sq ft", 1.1 Cr,1800 ,NRI Layout,not approval by RERA
879,2 BHK Apartment in Gopalan Habitat Splendour,seller,Ready to move,"6,122 / sq ft", 75 L,1225 ,Marathahalli,not approval by RERA
880,8 BHK Independent Floor,seller,Ready to move,"3,311 / sq ft", 1.49 Cr,4500 ,Vidyamanya Nagar,not approval by RERA
881,3 BHK Apartment,seller,Under Construction,"7,272 / sq ft", 80 L,1100 ,RT Nager,not approval by RERA
882,3 BHK Villa,seller,Ready to move,"4,545 / sq ft", 75 L,1650 ,Electronics City,not approval by RERA
883,2 BHK Apartment,seller,Ready to move,"3,741 / sq ft", 37.9 L,1013 ,Konanakunte,not approval by RERA
884,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.17 Cr,2140 ,Sarjapur,approval by RERA
885,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.17 Cr,2135 ,Sarjapur,approval by RERA
886,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.16 Cr,2120 ,Sarjapur,approval by RERA
887,3 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 93.22 L,1695 ,Sarjapur,approval by RERA
888,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.14 Cr,2075 ,Sarjapur,approval by RERA
889,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.21 Cr,2205 ,Sarjapur,approval by RERA
890,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.2 Cr,2195 ,Sarjapur,approval by RERA
891,4 BHK Independent House in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.49 Cr,2723 ,Sarjapur,approval by RERA
892,4 BHK Independent House in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.7 Cr,3109 ,Sarjapur,approval by RERA
893,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.2 Cr,2185 ,Sarjapur,approval by RERA
894,3 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 85.25 L,1550 ,Sarjapur,approval by RERA
895,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.12 Cr,2050 ,Sarjapur,approval by RERA
896,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.37 Cr,2500 ,Sarjapur,approval by RERA
897,4 BHK Villa in Inner Urban Serenity Row houses,Inner Urban Infraestate P Ltd,Under Construction,"5,500 / sq ft", 1.22 Cr,2230 ,Sarjapur,approval by RERA
898,2 BHK Apartment in Vaishnavi Serene,seller,Ready to move,"6,315 / sq ft", 60 L,950 ,Yelahanka,not approval by RERA
899,1 BHK Apartment in Vaishnavi Serene,seller,Ready to move,"6,923 / sq ft", 45 L,650 ,Yelahanka,not approval by RERA
900,2 BHK Apartment in Godrej Royale Woods,seller,Under Construction,"4,736 / sq ft", 45 L,950 ,Devanahalli,approval by RERA
901,2 BHK Apartment,seller,Ready to move,"5,511 / sq ft", 70 L,1270 ,Yelahanka,not approval by RERA
902,2 BHK Apartment,seller,Ready to move,"4,687 / sq ft", 45 L,960 ,Narayanapura Hennur Main Road,not approval by RERA
903,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,260 / sq ft", 1.09 Cr,1505 ,Jalahalli,approval by RERA
904,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,244 / sq ft", 1.16 Cr,1605 ,Jalahalli,approval by RERA
905,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,244 / sq ft", 1.16 Cr,1605 ,Jalahalli,approval by RERA
906,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,260 / sq ft", 1.09 Cr,1505 ,Jalahalli,approval by RERA
907,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,260 / sq ft", 1.09 Cr,1505 ,Jalahalli,approval by RERA
908,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,239 / sq ft", 1.18 Cr,1635 ,Jalahalli,approval by RERA
909,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,238 / sq ft", 1.19 Cr,1645 ,Jalahalli,approval by RERA
910,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,239 / sq ft", 1.18 Cr,1635 ,Jalahalli,approval by RERA
911,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,238 / sq ft", 1.19 Cr,1645 ,Jalahalli,approval by RERA
912,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,253 / sq ft", 1.12 Cr,1545 ,Jalahalli,approval by RERA
913,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,253 / sq ft", 1.12 Cr,1545 ,Jalahalli,approval by RERA
914,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,253 / sq ft", 1.12 Cr,1550 ,Jalahalli,approval by RERA
915,3 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,253 / sq ft", 1.12 Cr,1550 ,Jalahalli,approval by RERA
916,2 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,311 / sq ft", 92.12 L,1260 ,Jalahalli,approval by RERA
917,2 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,311 / sq ft", 92.12 L,1260 ,Jalahalli,approval by RERA
918,2 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,319 / sq ft", 90.02 L,1230 ,Jalahalli,approval by RERA
919,2 BHK Apartment in Renaissance Reserva,Renaissance Holdings,Under Construction,"7,319 / sq ft", 90.02 L,1230 ,Jalahalli,approval by RERA
920,2 BHK Independent House,seller,Ready to move,"5,924 / sq ft", 1 Cr,1688 ,Hennur,not approval by RERA
921,6 BHK Independent Floor,seller,Ready to move,"4,852 / sq ft", 1.65 Cr,3400 ,Hennur,not approval by RERA
922,2 BHK Apartment,seller,Ready to move,"5,799 / sq ft", 65.12 L,1123 ,Krishnarajapura,not approval by RERA
923,2 BHK Apartment,seller,Ready to move,"5,818 / sq ft", 64 L,1100 ,HBR Layout,not approval by RERA
924,3 BHK Apartment in Sruthika Springfields,seller,Ready to move,"5,518 / sq ft", 74 L,1341 ,Jalahalli,not approval by RERA
925,7 BHK Independent House,seller,Ready to move,"4,657 / sq ft", 1.7 Cr,3650 ,J. P. Nagar,not approval by RERA
926,2 BHK Apartment,seller,Ready to move,"8,222 / sq ft", 1.05 Cr,1277 ,Whitefield,not approval by RERA
927,3 BHK Villa,seller,Ready to move,"20,075 / sq ft", 5.3 Cr,2640 ,Vijayanagar,not approval by RERA
928,3 BHK Independent House,seller,Ready to move,"6,842 / sq ft", 1.3 Cr,1900 ,Uttarahalli Hobli,not approval by RERA
929,2 BHK Independent House,seller,Ready to move,"4,200 / sq ft", 42 L,1000 ,Mathikere,not approval by RERA
930,3 BHK Apartment,seller,Under Construction,"11,250 / sq ft", 2.7 Cr,2400 ,Basavanagudi,not approval by RERA
931,2 BHK Apartment in Disha Courtyard,seller,Ready to move,"5,872 / sq ft", 69 L,1175 ,Whitefield Hope Farm Junction,not approval by RERA
932,3 BHK Independent House,seller,Ready to move,"4,304 / sq ft", 99 L,2300 ,Sarjapur,not approval by RERA
933,3 BHK Apartment in Epitome Elan,Epitome Builders Pvt Ltd,Under Construction,"6,440 / sq ft", 1.01 Cr,1575 ,JP Nagar Phase 9,approval by RERA
934,3 BHK Apartment in Epitome Elan,Epitome Builders Pvt Ltd,Under Construction,"6,681 / sq ft", 1.1 Cr,1650 ,JP Nagar Phase 9,approval by RERA
935,3 BHK Apartment in Epitome Elan,Epitome Builders Pvt Ltd,Under Construction,"7,146 / sq ft", 1.46 Cr,2050 ,JP Nagar Phase 9,approval by RERA
936,3 BHK Apartment in Epitome Elan,Epitome Builders Pvt Ltd,Under Construction,"6,912 / sq ft", 1.27 Cr,1850 ,JP Nagar Phase 9,approval by RERA
937,3 BHK Apartment in Sobha Ivory,seller,Ready to move,"14,618 / sq ft", 2.7 Cr,1847 ,Ulsoor,not approval by RERA
938,3 BHK Apartment in Mantri Serenity,seller,Ready to move,"7,543 / sq ft", 1.75 Cr,2320 ,Subramanyapura,not approval by RERA
939,3 BHK Apartment,seller,Ready to move,"5,714 / sq ft", 80 L,1400 ,HAL,not approval by RERA
940,3 BHK Villa in Unique Feronia,Unique Construction,Ready to move,"4,566 / sq ft", 98.99 L,2168 ,Hoskote,not approval by RERA
941,3 BHK Villa in Unique Feronia,Unique Construction,Ready to move,"4,305 / sq ft", 86.46 L,2008 ,Hoskote,not approval by RERA
942,3 BHK Villa in Unique Feronia,Unique Construction,Ready to move,"4,293 / sq ft", 91.7 L,2136 ,Hoskote,not approval by RERA
943,4 BHK Apartment in Sobha Habitech,seller,Ready to move,"8,215 / sq ft", 2.9 Cr,3530 ,Whitefield Hope Farm Junction,not approval by RERA
944,2 BHK Apartment,seller,Ready to move,"11,250 / sq ft", 1.8 Cr,1600 ,Bommasandra,not approval by RERA
945,6 BHK Independent House,seller,Under Construction,"3,685 / sq ft", 1.29 Cr,3500 ,Battarahalli,not approval by RERA
946,2 BHK Apartment in Raja Aristos,seller,Under Construction,"5,818 / sq ft", 80 L,1375 ,Hulimavu,approval by RERA
947,3 BHK Independent House,seller,Ready to move,"4,748 / sq ft", 1.9 Cr,4001 ,Banashankari,not approval by RERA
948,1 BHK Independent House,seller,Ready to move,"2,666 / sq ft", 16 L,600 ,Anekal City,not approval by RERA
949,3 BHK Independent House,seller,Ready to move,"3,500 / sq ft", 35 L,1000 ,Anekal City,not approval by RERA
950,3 BHK Apartment in Reputed Builder Raj Mandir Apartment,seller,Ready to move,"9,200 / sq ft", 1.38 Cr,1500 ,Ulsoor,not approval by RERA
951,6 BHK Independent House,seller,Under Construction,"3,166 / sq ft", 95 L,3000 ,Chikbanavara,not approval by RERA
952,3 BHK Independent House,seller,Ready to move,"6,944 / sq ft", 1.25 Cr,1800 ,Uttarahalli Hobli,not approval by RERA
953,2 BHK Apartment,seller,Under Construction,"3,913 / sq ft", 45 L,1150 ,Horamavu,not approval by RERA
954,5 BHK Independent House,seller,Ready to move,"5,961 / sq ft", 1.55 Cr,2600 ,hebbal kempapura,not approval by RERA
955,3 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,925 / sq ft", 1.06 Cr,1535 ,Sarjapur,approval by RERA
956,3 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,950 / sq ft", 1 Cr,1444 ,Sarjapur,approval by RERA
957,2 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"7,093 / sq ft", 76.25 L,1075 ,Sarjapur,approval by RERA
958,4 BHK Independent House in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,709 / sq ft", 2.31 Cr,3446 ,Sarjapur,approval by RERA
959,3 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,949 / sq ft", 1 Cr,1446 ,Sarjapur,approval by RERA
960,3 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,947 / sq ft", 1.01 Cr,1454 ,Sarjapur,approval by RERA
961,2 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"7,082 / sq ft", 77.55 L,1095 ,Sarjapur,approval by RERA
962,2 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"7,101 / sq ft", 75.2 L,1059 ,Sarjapur,approval by RERA
963,2 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"7,084 / sq ft", 77.29 L,1091 ,Sarjapur,approval by RERA
964,3 BHK Apartment in Mana Capitol,Mana Projects Pvt Ltd,Under Construction,"6,919 / sq ft", 1.08 Cr,1561 ,Sarjapur,approval by RERA
965,3 BHK Apartment in Lotus Krest Phase I,seller,Ready to move,"4,545 / sq ft", 1 Cr,2200 ,Brookefield,not approval by RERA
966,8 BHK Independent House,seller,Ready to move,"5,531 / sq ft", 2.6 Cr,4700 ,Kumaraswamy Layout,not approval by RERA
967,2 BHK Apartment in MJR Clique Hydra,seller,Ready to move,"5,341 / sq ft", 56.61 L,1060 ,Electronic City Phase 1,not approval by RERA
968,2 BHK Apartment in Vaishnavi Serene,seller,Ready to move,"6,105 / sq ft", 58 L,950 ,Yelahanka,not approval by RERA
969,2 BHK Apartment in MBR Signity,seller,Ready to move,"4,497 / sq ft", 47 L,1045 ,JP Nagar Phase 8,not approval by RERA
970,2 BHK Apartment,seller,Ready to move,"5,519 / sq ft", 60 L,1087 ,Narayanapura Hennur Main Road,not approval by RERA
971,10 BHK Independent House,seller,Ready to move,"6,406 / sq ft", 3.75 Cr,5853 ,Ejipura,not approval by RERA
972,5 BHK Independent House,seller,Ready to move,"7,500 / sq ft", 1.35 Cr,1800 ,HSR Layout,not approval by RERA
973,2 BHK Apartment,seller,Ready to move,"4,811 / sq ft", 55 L,1143 ,Chikkakannalli,not approval by RERA
974,3 BHK Apartment,seller,Under Construction,"5,461 / sq ft", 88.2 L,1615 ,RR Nagar,not approval by RERA
975,4 BHK Independent House,seller,Ready to move,"9,871 / sq ft", 3.84 Cr,3900 ,byatarayanapura,not approval by RERA
976,5 BHK Independent House,seller,Ready to move,"7,941 / sq ft", 1.35 Cr,1700 ,Dooravani Nagar,not approval by RERA
977,3 BHK Apartment,seller,Ready to move,"4,062 / sq ft", 65 L,1600 ,Kengeri Satellite Town,not approval by RERA
978,4 BHK Independent House,seller,Ready to move,"5,869 / sq ft", 1.35 Cr,2300 ,NRI Layout,not approval by RERA
979,4 BHK Independent House,seller,Ready to move,"5,652 / sq ft", 1.3 Cr,2300 ,NRI Layout,not approval by RERA
